element_id,sbml_type,element_description,unit,URI,description,remark
QGC,parameter,fraction of cardiac output going to gut and the liver via portal arthery,,,,
VLC,parameter,fraction liver volume,,,,
VFC,parameter,fraction fat volume,,,,
VKC,parameter,fraction kidney volume,,,,
VfilC,parameter,fraction filtrate compartment volume,,,,
VGC,parameter,fraction gut volume,,,,
VlunC,parameter,fraction lung volume,,,,
VPlasC,parameter,fraction plasma volume,,,,
Htc,parameter,hematocrit,,,,
Skinarea,parameter,,,,,
Skinthickness,parameter,,,,,
fss,parameter,fraction palm of hands,,,,
hsurf,parameter,applied layer thickness,cm,,,
hsc,parameter,stratum corneum thickness,cm,,,
hve,parameter,viable epidermis thickness,cm,,,
hcell,parameter,blood vessel wall thickness,cm,,,
ffatsc,parameter,fraction of fat in stratum corneum,,,,
ffatve,parameter,fraction of fat in viable epidermis,,,,
ffatepi,parameter,fraction of fat in epidermis,,,,
ffatbl,parameter,fraction of fat in blood,,,,
Kpcell,parameter,blood vessel wall thickness,cm/h,,,
MW,parameter,molar weight,g/mol,,Molecular weight.,
logP,parameter,logP,,http://semanticscience.org/resource/CHEMINF_000251,logP descriptor.,
VP,parameter,vapor pressure,,,,
Tmc,parameter,maximum resorption rate,,,,
Kt,parameter,resorption affinity,,,,
kurinec,parameter,urinary elimination rate constant,,,,
Free,parameter,free fraction in plasma,,,,
Biotransformation,parameter,,,,,
PL,parameter,partition coefficient liver/plasma,,,Partition coefficient liver/plasma.,
PF,parameter,partition coefficient fat/plasma,,,Partition coefficient fat/plasma.,
PK,parameter,partition coefficient kidney/plasma,,,Partition coefficient kidney/plasma.,
PSk,parameter,partition coefficient skin/plasma,,,Partition coefficient skin/plasma.,
PR,parameter,partition coefficient rest-of-body/plasma,,,Partition coefficient rest-of-body/plasma.,
PG,parameter,partition coefficient gut/plasma,,,Partition coefficient gut/plasma.,
PLun,parameter,partition coefficient lung/plasma,,,Partition coefficient lung/plasma.,
Kpsc,parameter,,,,,
Kpve,parameter,,,,,
kurine,parameter,,,,,
SkinTarea,parameter,,,,,
Kscve,parameter,,,,,
Kver,parameter,,,,,
Pab,parameter,,,,,
FreeL,parameter,,,,,
FreeF,parameter,,,,,
FreeK,parameter,,,,,
FreeSk,parameter,,,,,
FreeR,parameter,,,,,
FreeG,parameter,,,,,
FreeLun,parameter,,,,,
QC,parameter,cardiac output adjusted for body weight,,,,
QCP,parameter,cardiac output adjusted for plasma flow,,,,
QL,parameter,scaled plasma flow to liver,,,,
QF,parameter,scaled plasma flow to fat,,,,
QK,parameter,scaled plasma flow to kidney,,,,
Qfil,parameter,plasma flow to filtrate compartment,,,,
QG,parameter,scaled plasma flow to gut,,,,
QSk,parameter,scaled plasma flow to the skin,,,,
QR,parameter,plasma flow to the rest of the body,,,,
Qbal,parameter,,,,,
VL,parameter,liver volume,L,,Volume of liver compartment.,
VF,parameter,fat volume,L,,Volume of adipose tissue or fat compartment.,
VK,parameter,kidney volume,L,,Volume of kidney compartment.,
Vfil,parameter,filtrate compartment volume,L,,,
VG,parameter,gut volume,L,,Volume of the gut.,
VPlas,parameter,plasma volume,L,,Volume of blood plasma.,
VArt_Plas,parameter,arterial blood plasma volume,L,,Volume of arterial blood plasma.,
VVen_Plas,parameter,venous blood plasma volume,L,,Volume of blood plasma.,
VSk,parameter,skin volume,L,,Volume of skin.,
Vlun,parameter,lung volume,L,,Volume of the lung compartment.,
VR,parameter,rest-of-body volume,L,,Volume of rest-of-body compartment.,
VT,parameter,tidal volume,,,,
VFRC,parameter,,,,,
Valv,parameter,alveolar volume,,,Alveolar volume.,
Vbal,parameter,,,,,
Vsurf,parameter,volume of dermal layer on exposed skin surface,,,,
Vsc,parameter,stratum corneum volume,L,,Volume of stratum corneum.,
Vve,parameter,viable epidermis corneum volume,L,,Volume of viable epidermis.,
Tm,parameter,transporter maximum,,,,
CLsc,parameter,stratum corneum clearance,L/h,,,
CLve,parameter,viable epidermis clearance,L/h,,,
CLcell,parameter,clearance from arterial wall into the blood compartment,L/h,,,
